策略,彩种,期号,开奖号码,预测Top1,直选命中Top30,组选命中Top30,命中范围,命中号码,命中排名,Top5直选,Top5组选,Top1和值误差,Top1跨度误差,Top1形态一致,复盘时间
default,排列三,26126,835,057,False,True,,,,,,4,2,True,2026-05-17 02:02:18
conservative,排列三,26126,835,358,False,True,,,,,,0,0,True,2026-05-17 02:02:19
diversity,排列三,26126,835,078,False,True,,,,,,1,3,True,2026-05-17 02:02:21
default,福彩3D,2026126,846,458,False,True,,,,,,1,0,True,2026-05-17 02:02:22
conservative,福彩3D,2026126,846,456,False,False,,,,,,3,2,True,2026-05-17 02:02:23
diversity,福彩3D,2026126,846,456,False,False,,,,,,3,2,True,2026-05-17 02:02:24
default,排列三,26127,936,057,False,False,,,,,,6,1,True,2026-05-18 23:55:26
default,福彩3D,2026127,700,458,False,False,,,,,,10,3,False,2026-05-18 23:55:42
conservative,排列三,26127,936,358,False,False,,,,,,2,1,True,2026-05-18 23:57:18
diversity,排列三,26127,936,078,False,False,,,,,,3,2,True,2026-05-18 23:57:19
conservative,福彩3D,2026127,700,456,False,False,,,,,,8,5,False,2026-05-18 23:57:20
diversity,福彩3D,2026127,700,456,False,False,,,,,,8,5,False,2026-05-18 23:57:22
default,排列三,26128,512,358,False,False,,,,,,8,1,True,2026-05-19 21:36:24
conservative,排列三,26128,512,349,False,False,,,,,,8,2,True,2026-05-19 21:36:25
diversity,排列三,26128,512,078,False,False,,,,,,7,4,True,2026-05-19 21:36:26
default,福彩3D,2026128,776,078,False,False,,,,,,5,7,False,2026-05-19 21:36:27
conservative,福彩3D,2026128,776,456,False,False,,,,,,5,1,False,2026-05-19 21:36:28
diversity,福彩3D,2026128,776,078,False,False,,,,,,5,7,False,2026-05-19 21:36:29
default,排列三,26129,683,126,False,True,Top30,368,28,False,False,8,0,True,2026-05-20 10:30:27
conservative,排列三,26129,683,126,False,True,Top30,368,16,False,False,8,0,True,2026-05-20 10:30:28
diversity,排列三,26129,683,235,False,False,未命中,,,False,False,7,2,True,2026-05-20 10:30:30
default,福彩3D,2026129,023,456,False,False,未命中,,,False,False,10,1,True,2026-05-20 10:30:31
conservative,福彩3D,2026129,023,456,False,False,未命中,,,False,False,10,1,True,2026-05-20 10:30:33
diversity,福彩3D,2026129,023,078,False,False,未命中,,,False,False,10,5,True,2026-05-20 10:30:34
